Count	Name	Example1	Example2	Example3	Example4	Example5
19	Dimes Put Yourself	Maple Leafs hockey player Darryl Sittler and Rosemarie for March of Dimes Put Yourself in the Picture campaign, Maple Leaf Gardens	Maple Leafs hockey player Darryl Sittler and Rosemarie for March of Dimes Put Yourself in the Picture campaign, Maple Leaf Gardens	Maple Leafs hockey player Darryl Sittler and Rosemarie for March of Dimes Put Yourself in the Picture campaign, Maple Leaf Gardens	Maple Leafs hockey player Darryl Sittler and Rosemarie for March of Dimes Put Yourself in the Picture campaign, Maple Leaf Gardens	Maple Leafs hockey player Darryl Sittler and Rosemarie for March of Dimes Put Yourself in the Picture campaign, Maple Leaf Gardens
19	Parliament Bldgs	Lord Allenby, arriving at Parliament Bldgs	Parliament Bldgs, Billy Hallimore, head page	Parliament Bldgs, Public Accounts, G. T. McHattie	Princess Ileana leaving Parliament Bldgs	Parliament Bldgs, Public Accts Committee, Miss Virtue at table
19	Little Norway	South side of buildings at Queens Quay and Little Norway looking north	Apartment building on Little Norway	South side of buildings at Queens Quay and Little Norway looking north	South side of buildings at Queens Quay and Little Norway looking north	South side of buildings at Queens Quay and Little Norway looking north
19	Jarvis Collegiate	Jarvis Collegiate commencement, Elsie Owram, Abraham Ginson, Gwen Hudson	Wrecking old Jarvis Collegiate, from north	Jarvis Collegiate war memorial	Jarvis Collegiate commencement, Duncan Littlefair, Ernest Owram	Lord Allenby, welcome at Jarvis Collegiate
19	Melville Joseph	Melville Joseph "Mel" Kelly with baseball player at Toronto Maple Leafs Baseball Club spring training camp, Florida	Melville Joseph "Mel" Kelly in uniform of Toronto Maple Leafs Baseball Club, at club spring training camp, Florida	Melville Joseph "Mel" Kelly presents cheque from O'Keefe's to unidentified man for Humber Memorial Hospital Expansion Campaign	Melville Joseph "Mel" Kelly in office, presenting cheque from O'Keefe's	Melville Joseph "Mel" Kelly looks at blueprints
19	Advertising Section	Storm King wind shield wiper, (Advertising Section), T.T.C. Coach	T.T.C. coaches, direct to the brink of the Falls, (Advertising Section)	Train cars #2536 and 3029, (Advertising Section)	Cenotaph, City Hall, (Advertising Section)	Shunter, with bow type collector, (Advertising Section)
19	Canadian Pacific Railways	Canadian Pacific Railways roundhouse, stable, etc.	Canadian Pacific Railways roundhouse, turntable, coal loader, etc.	Viaduct opening, Canadian National Railways and Canadian Pacific Railways trains passin at west end, from train shed	Viaduct opening, Canadian Pacific Railways crew : Andrew Aitken, General Superintendent, Fireman Dunn, Engineer Lloyd, Conductor Hirons, Brakesman Powell, Baggageman Page, R.W. Scott, Superintendent	Viaduct opening, Canadian National Railways and Canadian Pacific Railways trains passin at west end, from train shed
19	Confederation Square	Confederation Square at Victoria Street	Confederation Square- south side of street, CIBC, Queen and Yonge, southeast corner	Confederation Square, Queen Street south side, hoarding now going up east of Yonge	Confederation Square - southeast at Queen and Yonge	Confederation Square - southwest Queen and Victoria
19	New Jersey	Christian Youth Conference, H.R. Bowen, Betty Shaw, Marg. Pennine, John Turner, all New Jersey	Cat Show, Lavender [Bandigo], Miss E. G. Hydon, Bagota, New Jersey	Urban design - Atlantic City, New Jersey	Senior golfing, C.D. Cooke, Arcola, New Jersey, Halford Hewitt, London, England, Dr. W.H. McGuire, Simcoe, Ontario	Urban design - Atlantic City, New Jersey
19	Pier H	Rosedale section - Pier H, concrete mixer	Rosedale section - Pier H, west side	Rosedale section - east approach, behind Pier H	Rosedlae section - Pier H, cave-in	Rosedale section - Pier H (?), draining west section
19	Elizabeth Street Playground	Elizabeth Street Playground (Lizzies) Juveniles — Playground and City Softball Champions (film neg.)	Elizabeth Street Playground "Lizzies" — Midget Basketball Playground and T & D Champions	Elizabeth Street Playground	Elizabeth Street Playground	Elizabeth Street Playground
19	Queens Quay Terminal	Queens Quay Terminal looking south-west	Looking west to Queens Quay Terminal	Walkway east of Queens Quay Terminal looking south	Theatre in Queens Quay Terminal [?]	Window in Queens Quay Terminal
19	M.L.	Grimsby, M.L., I.R. & Geo. lunching	Chalk Lake, near Uxbridge, M.L.	Wasaga Beach, M.L. filling radiator with small glass	Elora, M.L. under overhanging rock	Elora, M.L. cleaning clam shell
19	Ramsay MacDonald	Ramsay MacDonald, self and Miss Ishbel MacDonald at Government House	Ramsay MacDonald, with Labor group at Royal York	Ramsay MacDonald with American Federation of Labor members : Frank Morrison, Secretary of A.F.L., Ramsay MacDonald, Presiden Green [of A.F.O.L.]	Ramsay MacDonald, crowd scene at Convocation Hall	Ramsay MacDonald, crowd scene at Convocation Hall
19	Catfish Pond	High Park, filling in portion of Catfish Pond	Horseback riders at Catfish Pond	High Park, one swan on Catfish Pond	Catfish Pond	High Park, ducks on Catfish Pond
19	Toronto Symphony Youth Orchestra	Toronto Symphony Youth Orchestra (TSYO) in rehearsal at Pollack Hall, Montreal	Toronto Symphony Youth Orchestra (TSYO) in rehearsal at Pollack Hall, Montreal	Toronto Symphony Youth Orchestra concert debut	Toronto Symphony Youth Orchestra (TSYO) in rehearsal at Pollack Hall, Montreal	Toronto Symphony Youth Orchestra (TSYO) in rehearsal at Pollack Hall, Montreal
18	H.H. Fudger	H.H. Fudger funeral, honorary pallbearers at Mausoleum	H.H. Fudger funeral, minister and friends leaving Mausoleum	H.H. Fudger funeral, casket entering Mausoleum	H.H. Fudger funeral, crowd lined up to enter church	H.H. Fudger funeral, casket entering church
18	Courthouse Square Sculpture Garden	Drawing for Courthouse Square Sculpture Garden	Model of Courthouse Square Sculpture Garden	Model of Courthouse Square Sculpture Garden	Model of Courthouse Square Sculpture Garden	Model of Courthouse Square Sculpture Garden
18	Lower Simcoe	Queens Quay and Lower Simcoe, looking east	Gardiner looking west from Lower Simcoe at night 	Waterfront looking south-east from Lower Simcoe 	Queens Quay and Lower Simcoe, looking east	Looking north from railway tracks at Lower Simcoe, showing Skywalk
18	Gray Line	Gray Line waiting room, T.T.C., (Motor Coach Department)	Toronto "Gray Line" sightseeing coach, (Motor Coach Department)	"Gray Line" sightseeing coach, (Rolling Stock Department)	Parliament Buildings and Gray Line coaches, (Executive Department)	Toronto "Gray Line" sightseeing coach, (Motor Coach Department)
18	Forest Hill Exhibit	In arbitration, Tomsett and Forest Hill Exhibit 39 : 1635 Bloor St. W. near Indian Rd.; property valued by Geo. A. Lister, May 26, 1932	In arbitration, Tomsett and Forest Hill Exhibit 50 : view looking easterly showing the elevation of Merton St. with the James Sarcombe Cartage property to the left of photo	In arbitration, Tomsett and Forest Hill Exhibit 35 : business section on Eglinton Ave. W. from Avenue Rd. to Oriole Parkway, 4.58 percent grade	In arbitration, Tomsett and Forest Hill Exhibit 41 : view looking north-westerly, taken from top of bridge over Bathurst St. on Old Forest Hill Rd.	In arbitration, Tomsett and Forest Hill Exhibit 41 : view looking north-easterly showing properties in the neighbourhood of Bathurst St. and Roselawn Ave., taken from top of new concrete bridge on Old Forest Hill Rd.
18	Air France	Loading of horses onto Air France jet, Malton Airport	Loading of horses onto Air France jet, Malton Airport	Loading of horses onto Air France jet, Malton Airport	Loading of horses onto Air France jet, Malton Airport	Loading of horses onto Air France jet, Malton Airport
18	Don Jail	Don Jail	Don Jail, Mervin Noble installs bars in every door	Don Jail	General view from roof of Steel Metal Products building (Don Jail)	Broadview Avenue and Don Jail Roadway : Don Jail in background.
18	N.R.C.	N.R.C., bridge over Thompson's Creek, no. 21	N.R.C., passenger train	N.R.C., Machine Shop and Locomotive Works, Toronto, no. 4	N.R.C., part of freight train, (cattle and box cars) no. 29	N.R.C., Toronto Depot, winter, no. 6
18	National Home Show	Photos of Carl Banas interviewing at the National Home Show with crowds	Photo crowds at Culligan booth at National Home Show	Photos of Bell girls at the National Home Show	Photos of Bell girls at the National Home Show	Photos of Bell girls at the National Home Show
18	American LaFrance	American LaFrance pumper at CNE	American LaFrance truck at the CNE, salvaged and rebuilt after crash with streetcar at Yonge and Dundas streets	American LaFrance at CNE Firehall	American LaFrance truck at the CNE, salvaged and rebuilt after crash with streetcar at Yonge and Dundas streets	American LaFrance pumper No. 8 outside firehall on College Street
18	Gordon Sinclair	Gordon Sinclair of the Toronto Star	Gordon Sinclair at New City Hall	Lou and Nat Turofsky, with Gordon Sinclair, during stopover between trains on outdoor expedition 	Gordon Sinclair of the Toronto Star	Gordon Sinclair (left) and Greg Clark
18	Stanley Ostas	Wedding photos of Stanley Ostas and Margaret Zessoff	Wedding photos of Stanley Ostas and Margaret Zessoff	Wedding photos of Stanley Ostas and Margaret Zessoff	Wedding photos of Stanley Ostas and Margaret Zessoff	Wedding photos of Stanley Ostas and Margaret Zessoff
18	Margaret Zessoff	Wedding photos of Stanley Ostas and Margaret Zessoff	Wedding photos of Stanley Ostas and Margaret Zessoff	Wedding photos of Stanley Ostas and Margaret Zessoff	Wedding photos of Stanley Ostas and Margaret Zessoff	Wedding photos of Stanley Ostas and Margaret Zessoff
18	Princes' Gate	Hendrie and Co. Ltd. truck no. 203 and trailer no. 62 outside Princes' Gate, Exhibition grounds	Hendrie and Co. Ltd. crane truck and workers outside Princes' Gate, Exhibition grounds	Hendrie and Co. Ltd. truck no. 203 and trailer no. 62 outside Princes' Gate, Exhibition grounds	Hendrie and Co. Ltd. truck no. 203 and trailer no. 62 outside Princes' Gate, Exhibition grounds	Hendrie and Co. Ltd. truck no. 203 and trailer no. 62 outside Princes' Gate, Exhibition grounds
18	M. E. K.	Heat interchanging room of first stage M. E. K. plant	Dephlegmators and condensers on M. E. K. stills	Drum of pure M. E. K.	M. E. K. building	Showing fermentation room with boiler house on extreme right, still house in centre, sulphuric acid concentration building with the hipped roof, M. E. K. building, and the mill and elevator in the distance
18	Betty Kennedy	Betty Kennedy with children at Canadian Council of Christians and Jews Brotherhood Week	Betty Kennedy with children at Canadian Council of Christians and Jews Brotherhood Week	Betty Kennedy with children at Canadian Council of Christians and Jews Brotherhood Week	Betty Kennedy with children at Canadian Council of Christians and Jews Brotherhood Week	Betty Kennedy with children at Canadian Council of Christians and Jews Brotherhood Week
18	North York Council	Township of North York Council : 1963 - 1964.	Township of North York Council	North York Council	North York Council	Borough of North York Council, 1967 : 1967, 1968, 1969.
18	Andrew Davis	Toronto Symphony 1987 Canadian Odyssey tour, Andrew Davis conducting orchestra	Andrew Davis conductor, and the Toronto Symphony recording The Messiah at Centre in the Square, Kitchener, Ontario	Andrew Davis conductor, and the Toronto Symphony recording The Messiah at Centre in the Square, Kitchener, Ontario	Andrew Davis leading the Los Angeles Philharmonic	Presentation to Andrew Davis after final concert with Toronto Symphony
18	Pier G	Don section - Pier G	Don Section, Pier G - looking north	Don section, Pier G - excavating	Don section - Pier G, north side	Don Section, Pier G - starting concrete
18	Martha Norelius	CNE, women's swim, Martha Norelius, New York, full figure	CNE, women's swim, Martha Norelius coming up first	CNE, women's swim, Martha Norelius and Mayor McBride	CNE, women's swim, Martha Norelius and Dr. Forbes Godfrey	CNE, women's swim, Martha Norelius and Mayor McBride, sandwich
18	Dufferin Grove	Dufferin Grove	Dufferin Grove	Dufferin Grove — south from Gladstone Avenue	Dufferin Grove	Dufferin Grove
18	Paul Baker	Paul Baker	Paul Baker	Paul Baker	Paul Baker	Paul Baker
18	Prince George	Quebec, Prince George and Admiral Sir Lionel Halsey	Quebec, Prince George trying out club	C.N.E., Prince George speaking	Ottawa, Prince George, close-up, head & shoulders	Ottawa, Prince George leaving Eddy plant office
18	Elizabeth Street Playground Midgets	Elizabeth Street Playground Midgets — Playground and T.B.A. Baseball Champions 1939	Elizabeth Street Playground Midgets — Playground, T.B.A. and Ontario Baseball Champions 1939 (Note added championship compare to team photographed in #2058. Two additional players in #2060)	Elizabeth Street Playground Midgets — T.A.B.A. Champions	Elizabeth Street Playground Midgets — Playground and City Basketball Champions	Elizabeth Street Playground Midgets — Playground and City Softball Champions
18	Canadian Aviation	Canadian Aviation, balance test	Canadian Aviation, turning test	Canadian Aviation, hand-steadiness test	Canadian Aviation, balance test	Canadian Aviation, chest capacity test
18	Mount Pleasant Bridge	West sidewalk Mount Pleasant Bridge south	Mount Pleasant Bridge north	Condition of curb Mount Pleasant Bridge north	East sidewalk Mount Pleasant Bridge north	View of the Mount Pleasant Bridge 
18	Toronto Guidance Centre	Counselling at University of Toronto Guidance Centre	Dr. Watson, University of Toronto Guidance Centre	Counselling at University of Toronto Guidance Centre	Tests, University of Toronto Guidance Centre	Counselling at University of Toronto Guidance Centre
18	Tony Lazzeri	Tony Lazzeri, Toronto Maple Leafs Baseball Club manager, in dressing room	Tony Lazzeri, Toronto Maple Leafs Baseball Club manager, and player Sam Jones at spring training camp	Tony Lazzeri, Toronto Maple Leafs Baseball Club manager, at spring training camp, with Bisons Club member Mr. O'Neill	Tony Lazzeri, Toronto Maple Leafs Baseball Club manager, and player Mr. De Jong at spring training camp	Tony Lazzeri, Toronto Maple Leafs Baseball Club manager 1939-1940, Maple Leaf Stadium 
18	International Building	International Building, CNE	C. N. E. — International Building	View of window in burnt out wall of the International Building	View of grounds and burned out shell of the International Building	View of entrance of the burnt out International Building
18	First Canadian Place	Square at First Canadian Place	Square at First Canadian Place	Square at First Canadian Place	Fountain at First Canadian Place	View of First Canadian Place
17	Vesta Dr.	Sod turning ceremony for Forest Hill Village municipal offices and library building, Eglinton Ave. W. at Vesta Dr.	Remembrance Day service in front of Forest Hill Village War Memorial, Eglinton Ave. and Vesta Dr.	Carpet bedding, Parkette, Burton Rd. at Vesta Dr.	Street corners, Forest Hill Village : Old Forest Hill Rd. and Vesta Dr., N.W. corner	Remembrance Day service in front of Forest Hill Village War Memorial, Eglinton Ave. and Vesta Dr.
17	Jews Human Relations Awards	Comedians Wayne and Shuster at Canadian Council of Christians and Jews Human Relations Awards	Comedians Wayne and Shuster at Canadian Council of Christians and Jews Human Relations Awards	Chief Dan George at Canadian Council of Christians and Jews Human Relations Awards 	Nathan Phillips (centre) at Canadian Council of Christians and Jews Human Relations Awards	Comedians Wayne and Shuster at Canadian Council of Christians and Jews Human Relations Awards
17	Deer Park	Deer Park ravine, north Spadina Road	St. Clair looking east from Deer Park	St. Clair looking east from Deer Park	St. Clair looking east from Deer Park	St. Clair looking east from Deer Park
17	Tom Packs	Tom Packs [?] Circus, Maple Leaf Stadium : aerial acrobats	Tom Packs [?] Circus, Maple Leaf Stadium : baby elephant	Tom Packs [?] Circus, Maple Leaf Stadium : unidentified man with female performer and spotlight	Tom Packs [?] Circus, Maple Leaf Stadium : horse Act	Tom Packs [?] Circus, Maple Leaf Stadium : aerial acrobats
17	King Edward	New Year's Eve, King Edward, Mrs. Ruth Gans, Mrs Alec Sherman, London	Hairdressers, King Edward, Jean White, full figure, mirror	New Year's Eve, King Edward, Flora Browman	View of the King Edward in the background at Colborne and Yonge Streets	Hairdressers, Adams, King Edward model
17	Bob Hope	Hatter Sam Taft with Bob Hope	Hatter Sam Taft with Bob Hope	Bob Hope visits hatter Sam Taft	Hatter Sam Taft with Bob Hope	Hatter Sam Taft with Bob Hope
17	Ontario Legislature Buildings	Ontario Legislature Buildings, Queen's Park	Ontario Legislature Buildings, Queen's Park : general view	Ontario Legislature Buildings, Queen's Park : showing flower bed	Ontario Legislature Buildings, Queen's Park : general view	Ontario Legislature Buildings, Queen's Park : general view
17	Lux Burlesque Theatre	Lux Burlesque Theatre	Lux Burlesque Theatre	Lux Burlesque Theatre	Lux Burlesque Theatre	Lux Burlesque Theatre
17	Sheet Metal Products Company	View from office window; Sheet Metal Products Company (see #40)	West pier; Sheet Metal Products Company (see  #285)	Sheet Metal Products Company	Sheet Metal Products Company	Sheet Metal Products Company (199-207 River Street) entrance (see #55)
17	Sir Clifford Sifton	Sir Clifford Sifton takes jump	Sir Clifford Sifton funeral, H.L. Scholfield, Sir Henry Drayton	Sir Clifford Sifton funeral, H.L. Scholfield, Sir Henry Drayton	Sir Clifford Sifton funeral, H.L. Scholfield, Sir Henry Drayton	Sir Clifford Sifton funeral, mourners approaching grave
17	Gerrard East	Copy, Frank Walken, 2058 Gerrard East	Rear 435-465 Gerrard East	Clothing store, 1420 Gerrard East	Hairdressers, Amanda Bently, Helen Sneddon Hairdressing, 1067 Gerrard East	Unidentified location on Gerrard East
17	St. Andrew's Yard	Pipe at St. Andrew's Yard	St. Andrew's Yard	St. Andrew's Yard	36" pipe in St. Andrew's Yard from opposite 1091 Bathurst Street	Broken 36" pipe in St. Andrew's Yard
17	De Luxe	"De Luxe" (Gray) service coach - Yellow chassis - (Executive Department)	"De Luxe" (Gray) service coach - Yellow chassis - (Executive Department)	"De Luxe" (Gray) service coach - Yellow chassis, (Executive Department)	"De Luxe" (Gray) service coach - Yellow chassis, (Executive Department)	"De Luxe" (Gray) service coach - Yellow chassis, (Executive Department)
17	Midland Shrine	Midland Shrine, crowd attending outdoor mass, church in background	Midland Shrine, Archbishop McNeil, etc.	Midland Shrine, crowd attending outdoor mass	Midland Shrine, crowd attending outdoor mass	Midland Shrine, group of priests, etc.
17	Girl Guides	Girl Guides at Lady Pellatt's reception, Casa Loma stables	Unidentified Man with Boy Scout and Girl Guides, CNE	Girl Guides officers	Girl Guides, standard bearers	Girl Guides, group at St. Jude's Church
17	Crippled Children's Association	Crippled Children's Association, Carroll H. Petermann, Cincinnati, Ohio	Crippled Children's Association, Carroll H. Petermann, Cincinnati, Ohio	Crippled Children's Association, R.L. Stratton, London, Ontario	Crippled Children's Association, Miss Vivian Hackett, Elyria, Ohio	Crippled Children's Association, Paul King, Detroit
17	Little Trinity Anglican Church	Little Trinity Anglican Church - detail of windows	Little Trinity Anglican Church - detail of window	Corner of Trinity St. and King St., looking south-west, showing Little Trinity Anglican Church	Little Trinity Anglican Church - King St East, south side, east of Parliament	Little Trinity Anglican Church - view of windows
17	Springhurst Manor	Springhurst Manor, 1447 King West, looking west	Springhurst Manor, 1447 King West, looking south-west	Springhurst Manor, 1447 King West, looking west	Springhurst Manor, 1447 King West, looking north-west	Springhurst Manor, 1447 King West, looking west
17	St. Andrew's College	St. Andrew's College, J.S. Ellis	St. Andrew's College, Rosedale	St. Andrew's College, G.E. Burson	Aurora, St. Andrew's College games, hurdle race, Turnbull, H. P. Smith	Aurora, St. Andrew's College games, going through barrels, obstacle race
17	Canadian Broadcasting Corporation	Canadian Broadcasting Corporation radio production	Organ player for Canadian Broadcasting Corporation radio production	Canadian Broadcasting Corporation radio production	Canadian Broadcasting Corporation radio production	Canadian Broadcasting Corporation radio production
17	Kennedy Road Lumber	Parcel 4221, 741 Kennedy Road, Kennedy Road Lumber	Parcel 4221, 741 Kennedy Road, Kennedy Road Lumber	Parcel 4221, 741 Kennedy Road, Kennedy Road Lumber	Parcel 4221, 741 Kennedy Road, Kennedy Road Lumber	Parcel 4221, 741 Kennedy Road, Kennedy Road Lumber
17	Lawrence Park	Lawrence Park — Canna beds	Lawrence Park district	Lawrence Park, south from Lawrence Avenue	Winter in Lawrence Park	Lawrence Park, north from St. Edmunds
17	Ruby Mann	Miss Toronto Beauty Contest 1950, Exihibition Stadium : Hiram E. MacCallum and Mrs. Hilda Gordon present robes to Ruby Mann, Miss Toronto 1950	Miss Toronto Beauty Contest 1951, Exihibition Stadium : Ruth Carrier, Miss Toronto 1951, with Ruby Mann, Miss Toronto 1950	Miss Toronto Beauty Contest 1950, Exihibition Stadium : Ruby Mann, the eventual winner	Miss Toronto Beauty Contest 1950, Exihibition Stadium, twelve contestants : Ruby Mann (eventual winner), No. 16, right, Lois McInnes (eventual runner up), No. 24, 4th from left	Miss Toronto Beauty Contest 1950, Exihibition Stadium : Ruby Mann, Miss Toronto 1950
17	Ontario Department Of Game	Three men from Ontario Department Of Game and Fisheries catching fish or eels	Two men from Ontario Department Of Game and Fisheries with bucket of fish	Man from Ontario Department Of Game and Fisheries with fish	Ontario Department Of Game and Fisheries game exhibit, CNE	Ontario Department Of Game and Fisheries game exhibit, CNE
17	West Toronto	Well-Baby Clinic Competition - West Toronto	Explosion at West Toronto — west side of Gurney Foundry Company	Explosion at West Toronto — Gas tank	G.T.R. freight car wrecked by gas explosion at West Toronto freight sheds	Farmers market, West Toronto
17	J. H. B.	J. H. B., dog "Tinker", downcast	Xmas day, Ross Christie and J. H. B. with train, etc.	Port Credit, J. H. B. by willow tree	Bala, J. H. B., [plus 4's]	J. H. B., full figure
17	Toronto Canoe Club	Toronto Canoe Club, wrecking at work, south side	Bowling - Toronto Canoe Club	Toronto Canoe Club group portrait : banquet at the Prince George Hotel	Toronto Canoe Club, war canoe group, double line	Toronto Canoe Club clubhouse
17	Canada Airlines	Clare Wallace and group broadcasting from inside Trans-Canada Airlines airplane	Clare Wallace and group broadcasting from inside Trans-Canada Airlines airplane	Clare Wallace and group broadcasting from inside Trans-Canada Airlines airplane	Clare Wallace and group broadcasting from inside Trans-Canada Airlines airplane	Clare Wallace and pilots inside Trans-Canada Airlines airplane
17	Aemilius Jarvis	Aemilius Jarvis driving a car	Mrs. (Augusta) Aemilius Jarvis riding with hounds	Aemilius Jarvis leads the hunt	Aemilius Jarvis and Mrs. Jarvis (on greys) at hunt	Aemilius Jarvis and hounds
17	Bahen Centre	Looking north-east from site of Bahen Centre for Information Technology 	Looking west from site of Bahen Centre for Information Technology 	Looking east from site of Bahen Centre for Information Technology 	Looking west to site of Bahen Centre for Information Technology from St. George	Looking west to site of Bahen Centre for Information Technology from St. George
17	Noble Block	Queen, east of Spadina, "Noble Block", upper window detail	Queen, east of Spadina, "Noble Block"	Queen, east of Spadina, "Noble Block", upper window detail	Queen, east of Spadina, "Noble Block", upper window detail	Queen, east of Spadina, "Noble Block"
17	New Forest Hill Village Library	New Forest Hill Village Library building, opening ceremonies	New Forest Hill Village Library building, opening ceremonies	New Forest Hill Village Library building, opening ceremonies : view of officials on the dais	New Forest Hill Village Library building, opening ceremonies	New Forest Hill Village Library building, opening ceremonies : view of officials on the dais
17	Old Fort York	Indoor view of cannon and carriages at Old Fort York	Old Fort York, brick magazine	Old Fort York, D barracks flanked by two other buildings	Entrance to Old Fort York	Blockhouse at Old Fort York
17	Toronto Convocation	Women graduates, University of Toronto Convocation	Men graduates, University of Toronto Convocation	Women graduates, University of Toronto Convocation	University of Toronto Convocation	Women graduates, University of Toronto Convocation
17	Hillcrest Yard	Hillcrest Yard, number 1	Hillcrest Yard, west end	Hillcrest Yard, number 3	Hillcrest Yard	B.G. Loader, Hillcrest Yard (loading)
17	Victory Bonds	Poster advertising Victory Bonds	Poster for  Victory Bonds campaign	Poster advertising Victory Bonds	Pave the way to victory : buy Victory Bonds	Poster advertising Victory Bonds
17	York Club	Excavation and cave-in adjacent to York Club	York Club, northeast corner of Bloor and St. George streets	Excavation and cave-in adjacent to York Club	Excavation and cave-in adjacent to York Club	Excavation and cave-in adjacent to York Club
17	Bonaventure Island	Holiday trip, Perce, Quebec, gannets on rock ledge, Bonaventure Island	Holiday trip, Perce, Quebec, gannets on rock ledge, Bonaventure Island, in air	Holiday trip, Perce, Quebec, gannets on rock ledge, Bonaventure Island	Holiday trip, Perce, Quebec, cliff on Bonaventure Island, from water	Holiday trip, Perce, Quebec, cliff on Bonaventure Island, from water
17	Mount Pleasant Cemetery	Salvation Army buries victims of Empress of Ireland sinking, Mount Pleasant Cemetery	E.R.C. Clarkson funeral, scene at grave, Mount Pleasant Cemetery	Mount Pleasant Cemetery bridge	Yonge at Mount Pleasant Cemetery	Eaton mausoleum, Mount Pleasant Cemetery
17	CNE Grandstand	Queues for CNE Grandstand tickets	Sir Henry and Lady Pellatt greeting guests at garden party, CNE Grandstand	Medical corps field demonstration, CNE Grandstand	Sir Henry Pellatt in Queen's Own Rifles uniform and Mohawk clothing, CNE Grandstand	Rodeo at CNE Grandstand
17	Gord Walker	Gord Walker holding tickets	Gord Walker, with wife and baby	Gord Walker at Toronto Maple Leaf Baseball Club's spring training camp, Florida	Gord Walker holding tickets	Gord Walker
17	Leaside Hydro Station	Leaside Hydro Station opening, illuminated sign	Leaside Hydro Station, transformers, etc	Leaside Hydro Station, transformers, etc	Leaside Hydro Station, general of plant	Leaside Hydro Station opening, C. A. Magrath speaking
17	Miss Adele Hogan	Miss Adele Hogan, "Tinker," seated	Miss Adele Hogan, "Tinker," seated	Miss Adele Hogan, seated	Miss Adele Hogan, "Tinker," standing	Miss Adele Hogan, "Tinker," seated
16	Convocation Hall	Officers in front of Convocation Hall, University of Toronto	University of Toronto, Convocation Hall	Convocation Hall, University of Toronto	Convocation Hall, University of Toronto, (Commercial Department)	Overseas students church service, Convocation Hall, University of Toronto
16	Heart Lake	Opening of Heart Lake	Opening of Heart Lake	Opening of Heart Lake	Opening of Heart Lake	Opening of Heart Lake
16	Midsummer Night's Dream	Midsummer Night's Dream by Wessel Couzijn	Midsummer Night's Dream by Wessel Couzijn	Midsummer Night's Dream by Wessel Couzijn	Midsummer Night's Dream by Wessel Couzijn	Midsummer Night's Dream by Wessel Couzijn
16	Wessel Couzijn	Midsummer Night's Dream by Wessel Couzijn	Midsummer Night's Dream by Wessel Couzijn	Midsummer Night's Dream by Wessel Couzijn	Midsummer Night's Dream by Wessel Couzijn	Midsummer Night's Dream by Wessel Couzijn
16	Lady Baden	Lady Baden-Powell at the CNE	Boy Scouts parading during visit of Lord Rowallen and Lady Baden-Powell to CNE	Lady Baden-Powell views butter sculpture of Lord Baden-Powell with Boy Scouts at CNE	Boy Scouts parading during visit of Lord Rowallen and Lady Baden-Powell to CNE	Boy Scouts parading during visit of Lord Rowallen and Lady Baden-Powell to CNE
16	Miss A. K. Woods	Miss A. K. Woods funeral, Chief D. C. Draper and Chief Inspector Guthrie	Miss A. K. Woods funeral, Chief Draper, etc, leaving St. Paul's	Miss A. K. Woods funeral, hearse entering baggage car	Miss A. K. Woods funeral, casket entering hearse	Miss A. K. Woods funeral, policemen leaving church
16	Eaton's Bargain Centre	View of wercking crane in front of Eaton's Bargain Centre, view of Eaton's Centre	View of wercking crane in front of Eaton's Bargain Centre, view of Eaton's Centre	View of hoarding up around Eaton's Bargain Centre	Ground view of burnt Eaton's Bargain Centre from Albert Street	View of hoarding around Eaton's Bargain Centre
16	M.P. Ministry	George H. Hees, M.P. Ministry of Transport (Federal), visits (C.N.E.).  George H. Hees, addressing audience at boating event.  Mayor Nathan Phillips, at right	George H. Hees, M.P. Ministry of Transport (Federal), visits (C.N.E.).  George H. Hees, posing on water scooter	George H. Hees, M.P. Ministry of Transport (Federal), visits (C.N.E.).  Ontario Safety League display	George H. Hees, M.P. Ministry of Transport (Federal), visits (C.N.E.).  George H. Hees, addressing audience at boating event.  Donald Summerville, at right	George H. Hees, M.P. Ministry of Transport (Federal), visits (C.N.E.).  George H. Hees, addressing audience at boating event.  Mayor Nathan Phillips, and Donald Summerville, at right
16	Air Canada Centre	Looking north-east from west of Toronto Postal Delivery Building, possibly site of Air Canada Centre	Air Canada Centre looking north	North side of Toronto Postal Delivery Building, future Air Canada Centre	Air Canada Centre under construction [?]	Looking south to site of Air Canada Centre
16	Downtown Toronto	Downtown Toronto east of Spadina	Downtown Toronto underground pedestrian mall system	Downtown Toronto east of Spadina	Downtown Toronto underground pedestrian mall system	Downtown Toronto east of Spadina
16	Premier Frost	Premier Frost and members of subway	Premier Frost and members of subway	Premier Frost and members of subway	Yonge Street subway opening, Mayor Lamport, Premier Frost	Premier Frost and members of subway
16	Orange Parade	Aerial view of Orange Parade on University Avenue, looking south to Queen's Park	Aerial view of Orange Parade on University Avenue, looking south to Queen's Park	Orange Parade, looking down, City Hall	Marshall on horse in Orange Parade	Orange Parade, view from above, general
16	Scadding Court	Alexandra Park: Scadding Court	Alexandra Park: Scadding Court	Alexandra Park: Scadding Court	Alexandra Park: Scadding Court	Alexandra Park: Scadding Court
16	Appleby School	Appleby School games, Lady Willingdon presenting prizes to boys	Appleby School games, general scene during presentation	Appleby School games, pupil receiving book from Lord Willingdon	Appleby School games, H.A. Harrison receiving book from Lord Willingdon	Appleby School, Col. McCummon inspecting cadets
