title,citation,date,form,part_of,part_of_links,condition,copyright,imageLink,uniqueID,parent_uniqueID,parent_date,parent_desc,parent_title,parent_scope,physical_desc,subject,physical_desc_notes,numbers,other,scope,date_notes,title_notes,notes,author,author_notes,finding_aids,scale,geolocatable,datable,date_start,date_end,user_notes,latLng
View of flower beds on Centre Island,"Fonds 1526, File 77, Item 33","September 1, 1967",,File 77; Toronto Island,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0077_it0033.jpg,519934,457150,"September 14, 1957-July 31, 1972","55 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm",Toronto Island,,1 transparency : col. ; 35 mm,,,,,,,,,,,,,Locatable,yes,1957,1972,Ryan helped me,"{""latLng"":""43.6179901986222,-79.37329655819701""}"
Unidentified location near St. James Town or Moss Park,"Fonds 200, Series 1465, File 382, Item 25",[between 1972 and 1974],Photographs,File 382; St. James Town and area south of Carlton,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0382_it0025.jpg,452399,322177,1972-1974,29 transparencies : col ; 35mm,St. James Town and area south of Carlton,File consists of images of St. James Town and nearby streets.,,HOUSES (browse  records),,,,,,,,,,,,Maybe,yes,1972,1974,,
"Toronto, Canadian hockey game, action","Fonds 1266, Item 95420","March 24, 1945",Photographs,Fonds 1266; Globe and Mail fonds,,OPEN - No restrictions on these non-government records.,"Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 95420.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it95420.jpg,572523,46341,,,,,1 photonegatve : nitrate ; 13 x 18 cm,,Original nitrate negative was digitized in 2012. Researchers are not able to access the original negative. Please refer to the digital file.,Previously cited: City of Toronto Archives SC 266-95420,,,,,,,,,,Maybe,yes,1945,1945,,
Balaclava melee at Acton,"Fonds 1244, Item 1976",[ca. 1930],Photographs,Fonds 1244; William James family fonds,,"OPEN - No restrictions on these non-government records.To preserve the original prints, researchers should consult the reference photocopies available in the Research Hall.",Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1244/f1244_it1976.jpg,53578,46340,,,,,1 photoprint : b&w; ; 12 x 18 cm. — 1 photonegative : b&w; ; 10 x 12 cm,horseback riding (browse  records) horse sports (browse  records),neg is a copy neg.,W. James Sen.,"A reference print of this image is available on the photograph collection shelves of the Research Hall. See James Collection, Volume 27.",,,,,,,,,Maybe,yes,1930,1930,,
Lake Shore Boulevard at Marine Parade Drive looking east,"Fonds 200, Series 1465, File 175, Item 1",[between 1980 and 1998],Photographs,File 175; Lake Shore Boulevard West and Humber Bay shores,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0175_id0001.jpg,445124,307008,[between 1980 and 1998],25 transparencies : col. ; 35mm,Lake Shore Boulevard West and Humber Bay shores,"File consists of images of Lake Shore Boulevard West, including the motel strip and the Christie factory.",,STREETCARS (browse  records),,,,,,,,,,,,Maybe,yes,1980,1998,,"{""latLng"":""43.6261626,-79.47703589999998""}"
Avenue Road Ravine,"Fonds 217, Series 249, File 148, Item 4",,,File 148; Avenue Road Ravine,,OPEN - No restrictions on these government records.,Copyright may or may not be held by the City of Toronto...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0217/ser0249/f0217_s0249_fl0148_it0004.jpg,436752,43917,1960 - 1968,4 photoprints : b & w ; 10 x 12 cm,Avenue Road Ravine,"File consists of four views of a ravine located off of Avenue Road, north of Lawrence Avenue West.",,,,,,,,,,,,,,Locatable,yes,1960,1968,,"{""latLng"":""43.7223224,-79.4155475""}"
University of Toronto : entrance to grounds,"Fonds 1568, Item 465",1903,Photographs,Fonds 1568; Alexander W. Galbraith fonds,,OPEN - No restrictions on these non-government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1568/f1568_it0465.jpg,147571,46161,,,,,1 photoprint : b&w; ; 21 x 26 cm - 1 photonegative : b&w; ; 11 x 13 cm,universities and colleges (browse  records),,Former City of Toronto Archives citation: SC 568-465.,,,,,The negative of this image is stored in the vault: Box No. 158651.,,,,,Locatable,yes,1903,1903,,"{""latLng"":""43.66306139540157,-79.39339330694577""}"
City model,"Fonds 200, Series 1465, File 85, Item 11",1996,Photographs,"File 85; City model, 1996",,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0085_id0011.jpg,442076,306920,1996,15 transparencies : col. ; 35mm,"City model, 1996",File consists of images of a model of a part of the city.,,MODELS (REPRESENTATIONS) (browse  records),,,,,,,,,,,,Not Locatable,yes,1996,1996,,
Cawthra property,"Fonds 200, Series 372, Subseries 58, Item 1935","May 12, 1949","Photographs - streetscapes
Photographs",Subseries 58; Road and street condition photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0058/s0372_ss0058_it1935.jpg,97076,84005,1910-1957,"2,502 photographs : b&w; ; 13 x 18 cm and smaller",Road and street condition photographs,"Subseries consists of photographs of streets and intersections across Toronto. Arranged chronologically, the photographs document road construction and maintenance projects including street paving (bitulithic, tarvia, concrete, Rocmac), road widening, track laying and reconstruction, and the creation of traffic islands. Also included are examples of damage to streets, including erosion, and weather-related incidents such as defective paving, cave-ins, curb heaving and flooding. ",1 photonegative : b&w; ; 15 x 18 cm,ROADS (browse  records),,,,,,,,,,,,Locatable,yes,1949,,,"{""latLng"":""43.5573904,-79.58256699999998""}"
Spadina looking north from Front,"Fonds 200, Series 1465, File 601, Item 20",[between 1983 and 1998],Photographs,File 601; Suburbs / Spadina,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0601_it0020.jpg,554867,323118,1983-[199-],27 transparencies : colour ; 35mm,Suburbs / Spadina,"File consists of images of Spadina Avenue and Spadina Road, as well as office buildings in the suburbs. ",,,,,,,,,,,,,,Locatable,yes,1983,1991,,"{""latLng"":""43.6427784,-79.3937866""}"
North of 122 Wheeler Ave,"Fonds 200, Series 372, Subseries 58, Item 1053","June 12, 1923","Photographs - streetscapes
Photographs",Subseries 58; Road and street condition photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0058/s0372_ss0058_it1053.jpg,94923,84005,1910-1957,"2,502 photographs : b&w; ; 13 x 18 cm and smaller",Road and street condition photographs,"Subseries consists of photographs of streets and intersections across Toronto. Arranged chronologically, the photographs document road construction and maintenance projects including street paving (bitulithic, tarvia, concrete, Rocmac), road widening, track laying and reconstruction, and the creation of traffic islands. Also included are examples of damage to streets, including erosion, and weather-related incidents such as defective paving, cave-ins, curb heaving and flooding. ",1 photoprint : b&w; ; 15 x 18 cm - 1 photonegative : b&w; ; 15 x 18 cm,,,,,,,,,,,,,Locatable,yes,1923,,,"{""latLng"":""43.674592776246506,-79.30087828650818""}"
"Toronto skyline, west from Broadview and Sparkhall","Fonds 1526, File 46, Item 147","August 10, 1983",Photographs,File 46; Toronto skyline,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0046_it0147.jpg,516715,456406,"September 14, 1957-September 5, 1984","166 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm",Toronto skyline,,1 transparency : col. ; 35 mm,,,,,,,,,,,,,Locatable,yes,1983,,,"{""latLng"":""43.671292441243665,-79.3543820539673""}"
Tractor being loaded onto truck at official opening of Belarus Russian tractor factory,"Fonds 1257, Series 1057, Item 5149","May 17, 1973",Photographs,Series 1057; Alexandra Studio commissioned photographs,,"Vinegar syndrome has affected the original film media. It has been frozen for preservation reasons, and therefore may not be requested for viewing in the Research Hall. ",Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it5149.jpg,215965,210141,,,,,1 photonegative : b&w; ; 6 x 8 cm,agricultural machinery & implements (browse  records) INDUSTRIAL FACILITIES (browse  records) WORKERS (browse  records),,Assignment number:3178-51,,,,,,,,,,Maybe,yes,1973,,,
"Rameses Temple, Chief of Police Draper being chaired by Nobles","Fonds 1266, Item 19140","January 27, 1930",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 19140.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it19140.jpg,301779,46341,,,,,"1 photonegative : b&w;, safety film ; 10 x 13 cm",,"Negative was reformatted from nitrate film to safety film, between 1987 and 1990.",Previously cited: City of Toronto Archives SC 266-19140,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,,Maybe,yes,1930,1930,,
Old houses ( rear view ) 97 Elizabeth Street,"Fonds 200, Series 372, Subseries 32, Item 56","February 23, 1912",Photographs,Subseries 32; Health Department photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0032/s0372_ss0032_it0056.jpg,84235,83977,1911-1940,"ca. 245 photoprints : b&w; ; 13 x 18 cm and smaller
909 photonegatives : b&w; ; 13 x 18 cm and smaller",Health Department photographs,"Subseries consists of images taken for the Department of Health by the Department of Works photographer. Arranged in chronological order, these photographs focus on issues of concern to the Health Department during the tenure of Medical Officer of Health Dr. Charles Hastings. Subjects addressed in the photographs include: food and milk control, housing conditions and overcrowding, sanitation (including sewage disposal, plumbing, and drainage), quarantine and communicable disease control, potable water and water treatment, infants' clinics and mothers' classes, the activities of visiting public health nurses, and health and dental clinics held in Toronto public schools.
Subseries also includes photographs of offices, laboratories, and equipment associated with the operation of the Department of Health, as well as copies of charts and diagrams illustrating various public health statistics for Toronto.",1 photoprint : b&w; ; 13 x 18 cm. — 1 photonegative : b&w; ; 13 x 18 cm,,,,,,,,,,,,,Locatable,yes,1912,,,"{""latLng"":""43.6545449,-79.38481619999999""}"
Scholes' Hotel,"Fonds 1257, Series 1057, Item 537",[ca. 1945],Photographs - buildings - exterior views,Series 1057; Alexandra Studio commissioned photographs,,"Vinegar syndrome has affected the original film media. It has been frozen for preservation reasons, and therefore may not be requested for viewing in the Research Hall. ",Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it0537.jpg,211337,210141,,,,,1 photonegative : b & w ; 10 x 13 cm,hotels (browse  records),,Previously cited as: SC257-B-537,,"Item is an image of Scholes' Hotel located at 201-203 Yonge St., between Queen St. E. and Shuter St.",,,,,,,,Locatable,yes,1945,1945,,"{""latLng"":""43.6534614,-79.37936839999998""}"
View of Queen Street East at Parliament Street,"Fonds 1526, File 75, Item 16","May 4, 1977",Photographs - streetscapes,File 75; Queen Street East street scenes,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0075_it0016.jpg,519777,457141,"January 9, 1973-July 25, 1984","102 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm",Queen Street East street scenes,File consists of 102 35mm Kodachrome slide transparencies of street scenes along Queen Street East with a focus on street traffic and public transportation. Photographs were taken between 1973 and 1984.,1 transparency : col. ; 35 mm,,,,,,,,,,,,,Locatable,yes,1977,,,"{""latLng"":""43.65560010000001,-79.36444289999997""}"
Turnstiles at King Station,"Fonds 1128, Series 381, File 246, Item 10624-2",,,File 246; Turnstiles at King Station,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser381/s0381_fl0246_id10624-2.jpg,426995,103943,"April 21, 1953",2 photonegatives : b&w; ; 10 cm X 13 cm,Turnstiles at King Station,,,,,,,,,,,,,,,Locatable,yes,1953,1953,,"{""latLng"":""43.6491589,-79.37789220000002""}"
Union Station,"Fonds 1244, Item 5044",[ca. 1916],Photographs,Fonds 1244; William James family fonds,,"OPEN - No restrictions on these non-government records.Reseachers may not have access to original prints or negatives, but may use the reference prints available in the Research Hall.",Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1244/f1244_it5044.jpg,87445,46340,,,,,1 photoprint : b&w;,RAILWAY STATIONS (browse  records),,,"A reference print of this image is available on the photograph collection shelves of the Research Hall. See James Collection, Volume",,,,,,,,,Locatable,yes,1916,,,"{""latLng"":""43.644238,-79.383555""}"
View of the road deck of the old Bayview bridge over the West Don River,"Fonds 217, Series 249, File 11, Item 6",1960,,File 11; Bayview bridge,,OPEN - No restrictions on these government records.,Copyright may or may not be held by the City of Toronto...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0217/ser0249/f0217_s0249_fl0011_it0006.jpg,436339,37843,1960,5 photoprints : b & w ; 11 x 13cm,Bayview bridge,"File consists of views of the old bridge, located north of Lawrence Avenue East as well as construction of the new brige from various angles.",,,,,,,,,,,,,,Locatable,yes,1960,,,"{""latLng"":""43.653226,-79.38318429999998""}"
William Whyte presentation - city plan conference,"Fonds 200, Series 1465, File 180, Item 1",1991,Photographs,File 180; William Whyte presentation - city plan conference,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0180_id0001.jpg,445508,307013,1991,63 transparencies : col. ; 35mm ,William Whyte presentation - city plan conference,File consists of images of unidentified cities.,,,,,,,,,,,,,,Not Locatable,yes,1991,,,
"Robarts Library, University of Toronto","Fonds 200, Series 1465, File 341, Item 13",1987,Photographs,"File 341; Bay Street, and University of Toronto",,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0341_it0013.jpg,451075,322118,1987,14 transparencies : col ; 35mm,"Bay Street, and University of Toronto","File consists of images of Bay south of Bloor, and University of Toronto buildings. There are also a few images of College and Elizabeth.",,,,,,,,,,,,,,Locatable,yes,1987,,,"{""latLng"":""43.664486,-79.39968999999996""}"
Mary Karl McGaw and Beatrice Vasey,"Fonds 1266, Item 17556","August 22, 1929",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 17556.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it17556.jpg,299743,46341,,,,,"1 photonegative : b&w;, glass ; 9 x 11 cm",,,Previously cited: City of Toronto Archives SC 266-17556,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,,Maybe,yes,1929,,,
"Grenadier cadets, Rosedale","Fonds 1244, Item 982",[1914?],"Photographs
Photographs - portraits",Fonds 1244; William James family fonds,,OPEN - No restrictions on these non-government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1244/f1244_it0982.jpg,52552,46340,,,,,1 photoprint : b&w; ; 12 x 16 cm. — 1 photonegative : b&w; ; 10 x 12 cm,OFFICER CADETS (ARMED FORCES) (browse  records),Neg is a copy neg.,W. James.,"A reference print of this image is available on the photograph collection shelves of the Research Hall. See James Collection, Volume 16.","Item consists of one photograph. A note says ""Re mobilization order.""",,,,,,,,Locatable,yes,1914,,,"{""latLng"":""43.683375,-79.37717199999997""}"
"Underground construction, Shuter Street","Fonds 1128, Series 381, File 33, Item 6658-7",,,"File 33; Underground construction, Shuter Street",,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser381/s0381_fl0033_id6658-7.jpg,425827,103025,"Mar. 17, 1950",7 photonegatives : b&w; ; 10 cm x 13 cm,"Underground construction, Shuter Street",,,,,,,,,,,,,,,Locatable,yes,1950,,,"{""latLng"":""43.655328020423006,-79.3738902883606""}"
"Rolling Stock emergency truck #122, (Federal), (Garage Department)","Fonds 16, Series 71, Item 11355",1936,"Photographs
Photographs - details",Series 71; Central photography series of the Toronto Transit Commission,,"OPEN - No restrictions on these government records.Researchers may not have access to original prints or negatives, but may use the reference photocopies available in the Research hall.",Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser71/s0071_it11355.jpg,58220,25217,,,,,"1 photoprint : b&w; ; 13 x 18 cm
1 photonegative : glass, b&w; ; 13 x 18 cm",trucks (browse  records),,,"A reference photocopy of this image is available on the photograph collection shelves of the Research Hall. See TTC Collection, Series 71, Wickson Worksheets.",,,,,Alfred Pearson,"City of Toronto Archives, Series 71, Item 11355",,,Not Locatable,yes,1936,,,
News board at Toronto Summit Square,"Fonds 200, Series 1465, File 743, Item 29",1988,Photographs,File 743; Toronto Summit Square and Bay Street,,OPEN - No restrictions on these government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0743_it0029.jpg,600706,325774,1988-1991," 
30 transparencies : colour ; 35mm",Toronto Summit Square and Bay Street,"File consists of images of Toronto Summit Square west of Roy Thomson Hall, as well as other aspects of the 1988 G7 summit. File also includes images of Bay Street looking north to City Hall.",,,,,,,,,,,,,,Locatable,yes,1988,,,"{""latLng"":""43.64642651222848,-79.38731197990114""}"
Gould looking east from Yonge at night,"Fonds 200, Series 1465, File 19, Item 54",[198-],Photographs,File 19; Capital works - Yonge Street and Gould Street,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0019_id0054.jpg,439574,306854,[198-],69 transparencies : col. ; 35mm,Capital works - Yonge Street and Gould Street,This file consists of 67 photographs and 2 architectual drawings depicting the intersection of Yonge Street and Gould Street. The chess tables and street vendors are visible in some images Reconstruction of the road and sidewalks is also shown.,,NIGHT (browse  records),,,,,,,,,,,,Locatable,yes,1980,1989,,"{""latLng"":""43.6574008,-79.3813604""}"
Six Points Interchange area,"Fonds 220, Series 65, File 150, Item 25",,,File 150; Six Points Interchange area,,"Vinegar syndrome has affected the original film media. It has been frozen for preservation reasons, and therefore may not be requested for viewing in the Research Hall. ",Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0220/ser0065/s0065_fl0150_it0025.jpg,435673,340493,"June 16, 1960",72 photographs : b&w; negatives,Six Points Interchange area,"File consists of photographs of the area around the Six Points Interchange, the area where Kipling Avenue, Dundas Street West, and Bloor Street West meet, before it was built.",,,,,,,,,,,,,,Locatable,yes,1960,,,"{""latLng"":""43.64151349999999,-79.53519589999996""}"
University looking south to Dundas,"Fonds 200, Series 1465, File 607, Item 38",1983,Photographs,File 607; Streets - University,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0607_it0038.jpg,555052,324345,1983,40 transparencies : colour ; 35mm,Streets - University,"File consists of images of University Avenue between College and Front, as well as a few of Queen's Park south of Bloor.",,,,,,,,,,,,,,Locatable,yes,1983,,"that's a picture looking South towards Queens, picture is mislabeled, if you need any convincing, look at where the hilton is in real life (unless it has moved)","{""latLng"":""43.65168751171457,-79.38707358227839""}"
"University Armory, officers training","Fonds 1266, Item 69229","September 25, 1940",Photographs,Fonds 1266; Globe and Mail fonds,,OPEN - No restrictions on these non-government records.,"Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 69229.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it69229.jpg,570591,46341,,,,,1 photonegative : b&w; ; nitrate ; 10 x 13 cm,,Original nitrate negative was digitized in 2012. Researches are not able to access the original negative. Please refer to the digital file.,Previously cited: City of Toronto Archives SC 266-69229.,,,,,,,,,,Locatable,yes,1940,,"Figured out where this was based on http://torontoplaques.com/Pages/University_Avenue_Armouries.html

Demolished in 1963.","{""latLng"":""43.6530606,-79.38772719999997""}"
North-east corner of Stadium Road and Queens Quay West,"Fonds 200, Series 1465, File 54, Item 97",[between 1980 and 1998],Photographs,"File 54; District, Harbourfront",,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0054_id0097.jpg,440938,306889,[between 1980 and 1998],113 transparencies : col. ; 35mm,"District, Harbourfront",File consists of images of the central waterfront and the Port Lands (Port Industrial District). ,,HOUSING (browse  records),,,,,,,,,,,,Locatable,yes,1980,1998,,"{""latLng"":""43.6344967,-79.4005932""}"
Spadina Avenue looking north?,"Fonds 200, Series 1465, File 119, Item 83",[between 1890? and 1910?],Photographs,File 119; Miscellaneous,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0119_id0083.jpg,443265,308290,[18--]-1998,428 transparencies : col. ; b&w; ; 35mm ,Miscellaneous : volume 3,File consists of images depicting Toronto and other cities.,,,,,,,Image is a copy made between 1980 and 1989.,,,,,,,Not Locatable,yes,1890,1910,,"{""latLng"":""43.6518338,-79.3974809""}"
Waterfront proposals,"Fonds 200, Series 1465, File 263, Item 5",[between 1980 and 1998],Photographs,File 263; Waterfront proposals,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0263_it0005.jpg,448716,307098,[between 1977 and 1998],13 transparencies : col. ; 35mm,Waterfront proposals,"File consists of maps, diagrams, sketches, text, and other visuals to do with planning redevelopment on the waterfront.",,,,,,,,,,,,,,Not Locatable,yes,1990,1998,,
"Irvine ""Ace"" Bailey of the Toronto Maple Leafs Hockey Club in his office with unidentified man","Fonds 1257, Series 1057, Item 2376",1969,Photographs,Series 1057; Alexandra Studio commissioned photographs,,"Vinegar syndrome has affected the original film media. It has been frozen for preservation reasons, and therefore may not be requested for viewing in the Research Hall. ",Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it2376.jpg,213168,210141,,,,,1 photonegative : b&w; ; 11 x 13 cm,OFFICES (browse  records) hockey (browse  records) ATHLETES (browse  records) COACHES (PERSONS) (browse  records),,,,,,,,,,,,Maybe,yes,1969,1969,,
504 Adelaide Street West,"Fonds 200, Series 372, Subseries 33, Item 362","May 5, 1938",,Subseries 33; Housing photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource//ser372/ss0033/s0372_ss0033_it0362.jpg,247371,83978,1936-1951,986 photographs : b&w; ; 13 x 18 cm and smaller,Housing photographs,Subseries consists of photographs of houses located across the former City of Toronto.,1 photonegative ; b&w; ; 13 x 18 cm. - 1 photoprint : b&w; ; 13 x 18 cm,,,,,,,,,,,,,Locatable,yes,1938,1938,,"{""latLng"":""43.6458109,-79.40077180000003""}"
"Riverdale Zoo, Golden Eagle","Fonds 1266, Item 22971","January 28, 1931",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 22971.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it22971.jpg,307766,46341,,,,,"1 photonegative : b&w;, safety film ; 10 x 13 cm",ANIMALS (browse  records),"Negative was reformatted from nitrate film to safety film, between 1987 and 1990.",Previously cited: City of Toronto Archives SC 266-22971,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,,Locatable,yes,1931,1931,,"{""latLng"":""43.6671213,-79.36112509999998""}"
"Burning of S.S. John Hanlan, at Sunnyside, (Ferry Department)","Fonds 16, Series 71, Item 7021","July 15, 1929",,Series 71; Central photography series of the Toronto Transit Commission,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser71/s0071_it7021.jpg,41446,25217,,,,,"1 photoprint : b&w; ; 13 x 18 cm
1 photonegative : glass, b&w; ; 13 x 18 cm",,,,,The item is a photograph looking at the burning of S.S. John Hanlan at Sunnyside beach as a public spectacle to mark its retirement from service.,,,,Alfred Pearson,,,,Locatable,yes,1929,,,"{""latLng"":""43.636766,-79.45201759999998""}"
Christie Gardens on Lambertlodge looking east to Melita,"Fonds 200, Series 1465, File 650, Item 7",1991,Photographs,File 650; Miscellaneous buildings,,OPEN - No restrictions on these government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0650_it0007.jpg,574092,324319,1991,"1 photoprint : b&w; ; 25.5 cm x 20.5 cm
43 photoprints : colour ; 25.5 cm x 20.5 cm or smaller
78 transparencies : colour ; 35mm",Miscellaneous buildings,"File consists of images of various buildings, mostly on the waterfront and in the east end, including the Gooderham and Worts complex, Crombie Park, St. James Park, Cherry Beach, and other locations. Some are unidentified.",,,,,,,,,,,,,,Locatable,yes,1991,,,"{""latLng"":""43.6731898,-79.4226931""}"
