title,citation,date,form,part_of,part_of_links,condition,copyright,imageLink,uniqueID,parent_uniqueID,parent_date,parent_desc,parent_title,parent_scope,physical_desc,subject,physical_desc_notes,numbers,other,scope,date_notes,title_notes,notes,author,author_notes,finding_aids,scale
"Shuter St, north side, east of Ontario St, northwest corner","Fonds 1526, File 62, Item 110","May 25, 1977",,"File 62; ""P"" to ""S"" street views",,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0062_it0110.jpg,518394,456765,"August 4, 1958-May 19, 1984","174 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm","""P"" to ""S"" street views","File consists of 174 35mm Kodachrome slide transparencies of Toronto street views for streets that begin with the letters ""P"" to ""S."" Photographs were taken between 1958 and 1984, and include views of: Parliament Street, Pembroke Street, Percy Street, Pleasant Boulevard, Portland Street, Poulett Street, Princess Street, Queen's Park, Queen's Quay, Renfrew Place, Richmond Street East, Richmond Street West, Riverdale Park, Sackville Street, Seaton Street, Shaw Street, Sherbourne Street, Shuter Street, Simcoe Street, Spadina Avenue, Spruce Street, Sumach Street, St. Clair Avenue East, St. Clair Avenue West, St. Patrick Street, and St. Paul Street.",1 transparency : col. ; 35 mm,,,,,,,,,,,,
South side of Wellington west of Yonge,"Fonds 200, Series 1465, File 414, Item 21",[between 1983 and 1993],Photographs,File 414; Buildings: BCE Place,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0414_it0021.jpg,453342,322296,1983-1993,54 transparencies : col ; 35mm,Buildings: BCE Place,"File includes images of the interior and exterior of BCE Place (Brookfield Place), including construction, the older buildings on Yonge and Wellington that were converted, and other streets in the area.",,,,,,,,,,,,,
Temperance looking west,"Fonds 200, Series 1465, File 18, Item 8",[between 1980 and 1994],Photographs,File 18; Capital works - Yonge Street and Temperance Street,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0018_id0008.jpg,439507,306853,[between 1980 and 1994],8 transparencies : col. ; 35mm,Capital works - Yonge Street and Temperance Street,File consists of images of sidewalks on Temperance.,,,,,,,,,,,,,
Long side view of glass staircase in Eaton Centre,"Fonds 1526, File 87, Item 23","April 30, 1977",,File 87; Eaton Centre exterior after construction,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0087_it0023.jpg,520690,457452,"April 30, 1977-April 20, 1981","40 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm",Eaton Centre exterior after construction,,1 transparency : col. ; 35 mm,,,,,,,,,,,,
"Opening of Parliament, Ross inspecting guard of house","Fonds 1266, Item 9905","February 2, 1927",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 9905.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it9905.jpg,285008,46341,,,,,"1 photonegative : b&w;, glass ; 9 x 11 cm",,,Previously cited: City of Toronto Archives SC 266-9905.,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,
14 Wells Hill Road — Boiler explosion (interior),"Fonds 200, Series 372, Subseries 1, Item 148","May 20, 1915",Photographs,Subseries 1; Architect's photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0001/s0372_ss0001_it0148.jpg,100027,83946,1912-1952,ca. 1678 photographs : b&w; ; 13 x 18 cm and smaller,Architect's photographs,"Subseries consists of photographs taken on behalf of the City Architect's Department to document their activities. Photographs illustrate different types of buildings (e.g., residential, commercial, industrial) located across the City, and in various states of repair. Subseries includes views of buildings under construction, buildings undergoing repair work, buildings exhibiting structural damage (e.g., leaning walls, foundation cracks, collapsed chimneys), and buildings damaged by events such as frost, fire, or explosion.",1 photonegative : b&w; ; 13 x 18 cm,,,,,,,,,,,,
"Poster shop on Queen St East, south side, opposite Seaton","Fonds 1526, File 68, Item 68","February 6, 1981",,"File 68; Queen Street East, east to Sherbourne Street",,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0068_it0068.jpg,607920,457088,"May 24, 1971-August 16, 1984","75 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm","Queen Street East, east to Sherbourne Street",,1 transparency : col. ; 35 mm,,,,,,,,,,,,
"Sutton Horse Show, Sutton Handicap Steeplechase, jump","Fonds 1266, Item 14396","August 9, 1928",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 14396.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it14396.jpg,289520,46341,,,,,"1 photonegative : b&w;, glass ; 9 x 11 cm",,,Previously cited: City of Toronto Archives SC 266-14396.,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,
C.N.E. construction of new bandshell,"Fonds 1231, Item 1445","June 25, 1936","Photographs
Photographs - progress photographs",Fonds 1231; James Salmon collection,,OPEN - No restrictions on these non-government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1231/f1231_it1445.jpg,80548,78988,,,,,1 photonegative : b&w; ; 13 x 18 cm,CONSTRUCTION (browse  records),,,,,,,,,"City of Toronto Archives, Fonds 1231, Item 1445",,
"Modern mall on main street, United States","Fonds 200, Series 1465, File 167, Item 8",1973,Photographs,"File 167; Modern malls on main streets, U.S. case studies",,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0167_id0008.jpg,444673,307000,1973,20 transparencies : col. ; 35mm ,"Modern malls on main streets, U.S. case studies",File consists of images of pedestrian spaces.,,,,,,,,,,,,,
"Parcel 2295, 282 Dupont Street, L. Villeneuve Ltd.","Fonds 1257, Series 1057, Item 8453","October 16, 1974",Photographs,Series 1057; Alexandra Studio commissioned photographs,,"Vinegar syndrome has affected the original film media. It has been frozen for preservation reasons, and therefore may not be requested for viewing in the Research Hall. ",Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it8453.jpg,219269,210141,,,,,1 photonegative : b&w; ; 6 x 6 cm,STREETSCAPE (browse  records),,Assignment number:74-151,,Item consists of one photonegative taken for the Subway Property Committee.,,,,,,,
"Kingston Rd Loop and Bingham, west","Fonds 16, Series 71, Item 1822","December 2, 1922",,Series 71; Central photography series of the Toronto Transit Commission,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser71/s0071_it1822.jpg,38139,25217,,,,,1 photoprint : b&w; ; 13 x 18 cm,trackwork (browse  records) CONSTRUCTION (browse  records) ROADS (browse  records),,,,"Item is a photograph of Kingston Road loop Bingham Avenue looking west from to Bingham Loop taken December 2, 1922.",,,,Alfred Pearson,,,
Planning graphics,"Fonds 200, Series 1465, File 317, Item 1",[between 1970 and 1972],Photographs,"File 317; System diagrams, planning notes",,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0317_it0001.jpg,450423,322016,1970-1972,70 transparencies : col ; 35mm,"System diagrams, planning notes","File consists of images of presentation materials used for urban planning, mostly charts and graphs. File also includes a small number of photographs of downtown locations.",,,,,,,,,,,,,
Wagons converted to gun carriages,"Fonds 200, Series 372, Subseries 70, Item 549","Sept. 27, 1940",,Subseries 70; Street cleaning photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0070/s0372_ss0070_it0549.jpg,251774,84019,1913-1949,"ca. 588 photoprints : b&w; ; 13 x 18 cm and smaller
ca. 588 photonegatives : b&w; ; 13 x 18 cm and smaller",Street cleaning photographs,"Subseries consists of images of buildings and equipment associated with waste management and the maintenance of clean streets during the first half of the twentieth century. 
Photographs provide views of the following waste management facilities: the Don Incinerator and Destructor, the Wellington St. Destructor, the Island Incinerator, the Symes Rd. Incinerator, Destructor, and Ash Building, the Willowdale dump, the Woodville dump, the Pendrith Ave. city dump, and the Keele St. city dump. Also pictured are vehicles and equipment used for collecting waste (e.g., horse-drawn and mechanized garbage collection vehicles, flushers, waste paper cabinets, auto eductors) and for cleaning and clearing streets (e.g., sprinkler trucks, snow removal equipment). 
Given the City's reliance on horse-powered street cleaning vehicles during much of the period covered by this subseries, there are numerous photographs of horses, horse shows, cattle markets, and stables (i.e., Lansdowne Ave. stables, Western stables, Northern stables, the old and new Eastern stables, Coxwell Ave. stables, Keele St. stables, Weston stables).  
Photographs are arranged chronologically by date.",1 photonegative : b&w; ; 13 x 18 cm. - 1 photoprint : b&w; ; 13 x 18 cm,,,,,,,,,,,,
Ver Mehr Filter — Suction Well,"Fonds 200, Series 372, Subseries 72, Item 539","July 20, 1915",Photographs,Subseries 72; Toronto Water Works photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0072/s0372_ss0072_it0539.jpg,98528,84021,1910-1953,"ca. 140 photoprints : b&w; ; 13 x 18 cm and smaller
ca. 1004 photonegatives : b&w; ; 13 x 18 cm and smaller",Toronto Water Works photographs,"Subseries consists of photographs documenting Toronto's water distrubution network during the first half of the twentieth century. Photographs in this subseries fall into two general categories: general views of facilities and detail views of specific components of the city's filtration plants, reservoirs, and pumping stations (e.g., pumps, filters, conduits, intake pipes, etc.). Subseries also features photographs of charts, plans, and mechanical drawings relating to water levels, water consumption, and water works facilities. Photographs in this subseries are arranged chronologically.",1 photonegative : b&w; ; 13 x 18 cm,,,,,,,,,,,,
"A.E. Hacker, full figure","Fonds 1266, Item 18900","December 29, 1929",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 18900.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it18900.jpg,301518,46341,,,,,"1 photonegative : b&w;, safety film ; 10 x 13 cm",,"Negative was reformatted from nitrate film to safety film, between 1987 and 1990.",Previously cited: City of Toronto Archives SC 266-18900,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,
Spadina looking north from Front,"Fonds 200, Series 1465, File 601, Item 20",[between 1983 and 1998],Photographs,File 601; Suburbs / Spadina,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0601_it0020.jpg,554867,323118,1983-[199-],27 transparencies : colour ; 35mm,Suburbs / Spadina,"File consists of images of Spadina Avenue and Spadina Road, as well as office buildings in the suburbs. ",,,,,,,,,,,,,
Ontario Place,"Fonds 124, File 9, Item 58",,,File 9; Ontario Place,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0124/f0124_fl0009_id0058.jpg,430099,127344,1972-1989,176 transparencies : col. ; 35 mm,Ontario Place,"File consists of colour slides documenting Ontario Place on Toronto's waterfront. There are images of the CNE from Ontario Place, the Cinesphere, the pavillions, Lakeshore Beach, the marina, the lagoon, and the Forum. There are also pictures showing the activities of the patrons, such as roller skating, kite flying, and children in the water park.",,,,,,,,,,,,,
Toronto-Hamilton Highway,"Fonds 1231, Item 1265","August 18, 1916",Photographs,Fonds 1231; James Salmon collection,,OPEN - No restrictions on these non-government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1231/f1231_it1265.jpg,80359,78988,,,,,1 photonegative : b&w; ; 13 x 18 cm,HIGHWAYS (browse  records),,,,,,,,,"City of Toronto Archives, Fonds 1231, Item 1265",,
Avenue Road Ravine,"Fonds 217, Series 249, File 148, Item 4",,,File 148; Avenue Road Ravine,,OPEN - No restrictions on these government records.,Copyright may or may not be held by the City of Toronto...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0217/ser0249/f0217_s0249_fl0148_it0004.jpg,436752,43917,1960 - 1968,4 photoprints : b & w ; 10 x 12 cm,Avenue Road Ravine,"File consists of four views of a ravine located off of Avenue Road, north of Lawrence Avenue West.",,,,,,,,,,,,,
People using the Bloor-Danforth subway line,"Fonds 1567, Series 648, File 194, Item 5",,,File 194; People using the Bloor-Danforth subway line,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1567/ser648/s0648_fl0194_id0005.jpg,446465,126923,1966,35 photonegatives : b&w; ; 6 x 6 cm,People using the Bloor-Danforth subway line,,,,,,,,,,,,,,
"New type motor coach, Toronto fare box, (Garage Department)","Fonds 16, Series 71, Item 4382","June 18, 1926",,Series 71; Central photography series of the Toronto Transit Commission,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser71/s0071_it4382.jpg,39626,25217,,,,,"1 photoprint : b&w; ; 13 x 18 cm
1 photonegative : glass, b&w; ; 13 x 18 cm",,,,,Item is a photograph looking at new type motor coach Toronto fare box.,,,,Alfred Pearson,,,
Street view of St. James Park,"Fonds 1526, File 22, Item 132","October 8, 1981",,File 22; Cathedral Church of St. James,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0022_it0132.jpg,463796,456247,"September 25, 1957-June 21, 1983","144 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm",Cathedral Church of St. James,,1 transparency : col. ; 35 mm,,,,,,,,,,,,
Illustration of street patterns,"Fonds 200, Series 1465, File 584, Item 17",1990,Photographs,File 584; Study - street hierarchy main sets,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0584_it0017.jpg,554437,323045,1990,34 transparencies : colour ; 35mm,Study - street hierarchy main sets,File consists of images street diagrams and maps from a planning manual.,,,,,,,,,,,,,
TTC bus driver,"Fonds 1257, Series 1057, Item 9087",[196-],Photographs,Series 1057; Alexandra Studio commissioned photographs,,"Vinegar syndrome has affected the original film media. It has been frozen for preservation reasons, and therefore may not be requested for viewing in the Research Hall. ",Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it9087.jpg,219900,210141,,,,,1 photonegative : b&w; ; 6 x 6 cm,WORKERS (browse  records) BUSES (browse  records),,Assignment number:2226-11,,Item consists of one photonegative taken for the University of Toronto Guidance Centre.,,,,,,,
"Bingo prize winners, Maple Leaf Gardens","Fonds 1257, Series 1057, Item 7365",[194-?],Photographs,Series 1057; Alexandra Studio commissioned photographs,,"Vinegar syndrome has affected the original film media. It has been frozen for preservation reasons, and therefore may not be requested for viewing in the Research Hall. ",Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1257/ser1057/f1257_s1057_it7365.jpg,218180,210141,,,,,1 photonegative : b&w;,WOMEN (browse  records),,,,,,,,,,,
"Hollinger Bus Lines, East York, bus, (Executive Department)","Fonds 16, Series 71, Item 11210",1936,Photographs,Series 71; Central photography series of the Toronto Transit Commission,,"OPEN - No restrictions on these government records.Researchers may not have access to original prints or negatives, but may use the reference photocopies available in the Research Hall.",Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser71/s0071_it11210.jpg,53833,25217,,,,,1 photoprint : b&w; ; 13 x 18 cm,BUSES (browse  records) HOUSES (browse  records),,,"A reference photocopy of this image is available on the photograph collection shelves of the Research Hall. See TTC Collection, Series 71, Wickson Worksheets.",,,,,Alfred Pearson,"City of Toronto Archives, Series 71, Item 11210",,
Yonge Street subway construction,"Fonds 16, Series 574, File 89, Item 491101",,,File 89; Yonge Street subway construction,,OPEN - No restrictions on these government records.,Copyright is not held by the City of Toronto...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser574/s0574_fl0089_id491101.jpg,428928,109554,1952,10 photoprints : b&w; ; 20 x 22 cm,Yonge Street subway construction,"File consists of ten photographs documenting construction of the Yonge Street subway. The photographs show: invert, 6ES, concreted; Union Station, south entrance, 2UE, concreted; temporary street paving, north of College Street; restoration, water main, at Queen Station, north-west side; pit run, south of Dundas Street; pit run, at Queen Street intersection; excavation for College Street, south-west entrance; Hillsdale Avenue bridge, footing on east side; excavation for Eglinton bus transfer, footings; and cut and cover wxcavation at BR.",,,,,,,,,,,,,
Man and woman fishing in the Credit River,"Fonds 1231, Item 1430","July 1, 1902",Photographs,Fonds 1231; James Salmon collection,,OPEN - No restrictions on these non-government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1231/f1231_it1430.jpg,80527,78988,,,,,1 photoprint : b&w; ; 18 x 13 cm. — 1 photonegative : b&w; ; 18 x 13 cm,RIVERS (browse  records) fishing (browse  records) WOMEN (browse  records),,,,,,,,,"City of Toronto Archives, Fonds 1231, Item 1430",,
Forest Hill Works Dept. street sweeper,"Fonds 207, Series 1251, Item 60",[195-],,Series 1251; Forest Hill photographs,,OPEN - No restrictions on these government records.,Copyright is not held by the City of Toronto...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0207/ser1251/f0207_s1251_it0060.jpg,254141,249455,,,,,1 photoprint : b&w; ; 21 x 26 cm,,,"Formerly cited as: City of Toronto Archives RG106, Photographic Series A, Item 60.",,,,,,"Photo: Carr-Halliday, Toronto",,,
Young Peoples' Theatre on south-east corner of Front and Frederick,"Fonds 200, Series 1465, File 651, Item 86",1991,Photographs,"File 651; Marketing brochure - map illustrations, miscellanous buildings",,OPEN - No restrictions on these government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0651_it0086.jpg,574291,324320,1991," 
113 photoprints : colour ; 15.5 cm x 10.5 cm
36 transparencies : colour ; 35mm","Marketing brochure - map illustrations, miscellanous buildings","File consists of images of a variety of buildings and locations, most of them near the lake. Locations shown including the Gooderham and Worts complex, housing, and parks.",,THEATRES (browse  records),,,,,,,,,,,
T. Eaton Company factory from Louisa Street,"Fonds 1244, Item 7034",1910,Photographs,Fonds 1244; William James family fonds,,"OPEN - No restrictions on these non-government records.Reseachers may not have access to original prints or negatives, but may use the reference prints available in the Research Hall.",Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1244/f1244_it7034.jpg,87539,46340,,,,,1 photoprint : b&w;,"Louisa St (Toronto, Ont.)  (browse  records)INDUSTRIAL FACILITIES (browse  records) WINTER (browse  records) HOUSES (browse  records)",,,"A reference print of this image is available on the photograph collection shelves of the Research Hall. See James Collection, Volume",,,,,,,,
"View of shoe store window display on the west side of Yonge Street, north of Wellesly","Fonds 1526, File 2, Item 25","June 4, 1975",,"File 2; Yonge Street, Bloor Street to Grosvenor St.",,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0002_it0025.jpg,462425,455998,"July 1, 1970-July 1, 1975","91 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm","Yonge Street, Bloor Street to Grosvenor St.",,1 transparency : col. ; 35 mm,,,,,,,,,,,,
Woodbine sewage works,"Fonds 200, Series 372, Subseries 100, Item 213",[191-],Photographs,Subseries 100; General photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0100/s0372_ss0100_it0213.jpg,103849,84070,[ca.1890]-1963,"ca. 772 photoprints : b&w; ; 13 x 18 cm and smaller
ca. 61 photonegatives : b&w; ; 13 x 18 cm and smaller",General photographs,"Subseries consists of a miscellaneous group of images assembled by the archivist from photographs that did not readily fit into any existing category in Series 372.
Arranged chronologically, photographs in this subseries cover a diverse range of subjects, from architecture (bridges and buildings) and transportation (illegal parking, streetcars, and street cleaning) to public works (waste incineration, sewers, water distribution networks, and Works facilities) and police and fire services (stations and fire halls). There are numerous photographs of intersections located around the city, as well as views of stagnant ponds, fire damage, civic events.",1 photoprint : b&w;,,,,,"Item originally entitled ""Sewer — Garrison Creek extension"" but may relate to the sewage works at the foot of Woodbine Avenue.",,,,,,,
"Street mall, United States","Fonds 200, Series 1465, File 162, Item 6",1973,Photographs,"File 162; Street malls, U.S. case studies",,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0162_id0006.jpg,444527,306995,1973,16 transparencies : col. ; 35mm ,"Street malls, U.S. case studies",File consists of images of pedestrian spaces.,,,,,,,,,,,,,
Moving tree beside College Street,"Fonds 1244, Item 7287",[ca. 1929],Photographs,Fonds 1244; William James family fonds,,"OPEN - No restrictions on these non-government records.Reseachers may not have access to original prints or negatives, but may use the reference prints available in the Research Hall.",Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1244/f1244_it7287.jpg,87786,46340,,,,,1 photoprint : b&w;,trees (browse  records) CONSTRUCTION (browse  records) ROADS (browse  records) WORKERS (browse  records),,,"A reference print of this image is available on the photograph collection shelves of the Research Hall. See James Collection, Volume","Item consists of one photograph. A note says, ""Cutting a branch around the tree on left previous to transplanting 30 feet away making room for a wider College St. and to retain a full grown and beautiful specimen for the Botanical Garden at entrance to Queen's Park.""",,,,,,,
452 1/2 Yonge Street,"Fonds 200, Series 372, Subseries 58, Item 2597","April 9, 1954","Photographs - streetscapes
Photographs",Subseries 58; Road and street condition photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0058/s0372_ss0058_it2597.jpg,98243,84005,1910-1957,"2,502 photographs : b&w; ; 13 x 18 cm and smaller",Road and street condition photographs,"Subseries consists of photographs of streets and intersections across Toronto. Arranged chronologically, the photographs document road construction and maintenance projects including street paving (bitulithic, tarvia, concrete, Rocmac), road widening, track laying and reconstruction, and the creation of traffic islands. Also included are examples of damage to streets, including erosion, and weather-related incidents such as defective paving, cave-ins, curb heaving and flooding. ",1 photoprint : b&w; ; 15 x 18 cm - 1 copynegative : b&w; ; 15 x 18 cm,ROADS (browse  records),,,,,,,,,,,
"Old City Hall, Bay Street","Fonds 124, File 3, Item 48","September, 1975",Photographs - buildings - exterior views,"File 3; Buildings, Part 3",,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0124/f0124_fl0003_id0048.jpg,429386,127338,1972-1991,200 transparencies : col. ; 35 mm,"Buildings, Part 3","File consists of colour slides documenting major streets, storefronts, and prominent buildings in central Toronto, including City Hall (1899-1965), City Hall (1965- ), Nathan Phillips Square, Don Jail, Terminal Warehouse, Eaton's College Street, Eaton's Annex, Birk's (Yonge Street), Downtown Theatre, Imperial Theatre, University Theatre, Royal Ontario Museum, the Yorkville Fire Hall, St. Paul's Cathedral (exterior and interior), Church of the Redeemer, St. Basil's Cathedral, St. James Cathedral, Little Trinity Church, the Consumer's Gas building on Berkely Street, Royal York Hotel, Lord Simcoe Hotel, Confederation Life Building, the Domestic Science Building at Queen's Park and Bloor, Casa Loma, the Sunnyside Bathing Pavillion, the Cyclotron (Front Street), SkyDome, the Monarch Flour Mills, and the Dominion Coal Silos. The streetscapes show corners, buildings and storefronts along downtown streets including Yonge Street, Adelaide Street, Front Street and Wellington Street.","1 transparency : col. slide, diapositive (Kodachrome) ; 35 mm",,,Ellis Wiley slide number: L2.81-9714.,,,,,,,,,
Beaconsfield laneway detail,"Fonds 485, Series 2341, File 1, Item 46","November 2, 2009",,File 1; Beaconsfield laneways,,OPEN - No restrictions on these non-government records.,"Copyright was transferred to the City of Toronto by the copyright owner. ...moreThis item was created in a digital format and its resolution is below the Archives' standard for reproduction. You are welcome to download the image at no charge, but copies, in either digital or print format, will not be sold by the Archives.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/s2341/s2341_fl0001_it0046.jpg,633640,633538,2005-2009,,Beaconsfield laneways,,1 photograph : col. (jpeg) ; 4.068 MB,,Size of digital file indicated reflects the size of the file as received by the Archives.,Digital file previously named: Mackenzie Lisgar view S 091102.JPG,,"Item is a photograph taken looking south, north of Afton Avenue, in a laneway running north-south, in the block bounded by Afton Avenue in the south, MacKenzie Crescent in the north, Lisgar Street in the west and MacKenzie Crescent in the east. ",Date of creation based on Date Taken field in file properties.,,,,,,
St. Lawrence Market,"Fonds 124, File 12, Item 56",,,File 12; St. Lawrence Market,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0124/f0124_fl0012_id0056.jpg,430417,127347,1971-1989,116 transparencies : col. ; 35 mm,St. Lawrence Market,"File consists of colour slides documenting St. Lawrence Market, including the building, shoppers, employees,and the meats, fish, cheese, and produce.",,,,,,,,,,,,,
Public redevelopment of Courthouse Square,"Fonds 200, Series 1465, File 477, Item 26",[between 1978 and 1984],Photographs,File 477; Open space - Courthouse Square,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0477_it0026.jpg,551766,322575,1978-1984,"25 transparencies : col ; 35mm
8 transparencies : b&w; ; 35mm",Open space - Courthouse Square,"File includes images of the site of Courthouse Square, a part directly on Court Street west of Church, directly south of the Adelaide Street Court House (also known as the York County Court House) on Adelaide. File includes images of the site when it was a parking lot, illustrations and models of the proposed park, and images of the buildings on the south side of Court Street.",,,,,,,,,,,,,
